Date,Open,High,Low,Close,Adj Close,Volume
18-02-2021,43286.49609,43561.95703,42287.22266,42739.44922,42739.44922,43049516673
19-02-2021,42736.29297,46308.125,42149.52734,46119,46119,52396611048
20-02-2021,46118.33984,47453.42969,45077.94531,46293.4375,46293.4375,56233769904
21-02-2021,46267.89453,48134.50391,45941.14844,47456.125,47456.125,42802585284
22-02-2021,47450.18359,47461.76563,40337.86328,44563.24219,44563.24219,75675282178
23-02-2021,44561.27734,44561.27734,37269.80859,40181.33203,40181.33203,87319805134
24-02-2021,40190.10547,42211.42188,38837.58594,40844.41406,40844.41406,52340584486
25-02-2021,40847.49219,42492.48828,38735.16406,38735.16406,38735.16406,44832195559
26-02-2021,38806.40234,40021.40625,36636.48047,38385.91016,38385.91016,2.90727E+11
27-02-2021,38390.0625,39970.88672,37498.86719,38260.48047,38260.48047,38030607901
28-02-2021,38265.08984,38697.83594,35819.45313,37332.50391,37332.50391,44202316989
01-03-2021,37350.47656,41319.6875,37313.16016,41192.19141,41192.19141,44727892898
02-03-2021,41176.3125,41606.48438,39066.09375,40032.69531,40032.69531,39330914776
03-03-2021,40063.16797,43555.67188,39945.79297,41952.80469,41952.80469,44179660436
04-03-2021,41939.57422,42899.51172,39813.21875,40578.53516,40578.53516,43739383062
05-03-2021,40550.01172,41470.57422,38919.17578,41076.52734,41076.52734,40823509587
06-03-2021,41052.95703,41244.39453,39658.5625,41047.32031,41047.32031,28837937827
07-03-2021,41052.60547,43084.96875,41052.60547,42935.99219,42935.99219,36170069489
08-03-2021,42908.67969,44139.57813,41620.08594,44086.50391,44086.50391,41007335943
09-03-2021,44108.82031,46082.24609,43888,46082.24609,46082.24609,42794119992
10-03-2021,46082.15625,48033.20703,44874.66016,46969.32813,46969.32813,48048644343
11-03-2021,46931.28125,48472.57813,45614.77344,48247.39453,48247.39453,47385377215
12-03-2021,48260.82813,48397.07813,46400.92578,47962.9375,47962.9375,46589149629
13-03-2021,47972.375,51604.28906,47031.5625,51235.53516,51235.53516,50755954934
14-03-2021,51217.17188,51532.38672,49624.29688,49624.29688,49624.29688,36736633354
15-03-2021,49595.10156,50651.13672,46427.17188,46876.45313,46876.45313,55690582652
16-03-2021,46820.76953,47739.87109,44903.375,47727.08203,47727.08203,50201362534
17-03-2021,47744.66406,49206.125,45834.09375,49129.87891,49129.87891,50287731657
18-03-2021,49148.39453,50395.45313,45520.59766,48546.06641,48546.06641,46773269733
19-03-2021,48538.94922,49977.86328,47535.96094,48839.94141,48839.94141,41069651510
20-03-2021,48827.89453,50250.08984,48728.3125,48812.30859,48812.30859,42156042545
21-03-2021,48809.1875,49192.55078,46872.5,48405.21094,48405.21094,43709708070
22-03-2021,48400.55859,49095.92969,45497.92969,45699.40625,45699.40625,47369105335
23-03-2021,45684.75391,47231.16406,44838.54688,46230.26953,46230.26953,47662707362
24-03-2021,46206.23438,48454.45313,44467.14063,44675.62891,44675.62891,59738118759
25-03-2021,44635.40625,45187.79297,43093.26172,43907.32813,43907.32813,57745645064
26-03-2021,43889.36719,46749.44141,43801.76953,46749.44141,46749.44141,48033869056
27-03-2021,46749.65625,47962.66406,45991.09766,47458.42969,47458.42969,40076024963
28-03-2021,47459.64063,47875.45313,46699.69531,47471.80078,47471.80078,40460013386
29-03-2021,47469.38672,49509.45313,46820.02734,49071.78906,49071.78906,48965901937
30-03-2021,49071.73047,50642.14063,48656.43359,50257.08594,50257.08594,46415513387
31-03-2021,50267.82031,51103.47266,49192.60547,50240.55859,50240.55859,55870132689
01-04-2021,50247.15234,50761.31641,49843.74609,50172.63672,50172.63672,52357428406
02-04-2021,50175.24219,51184.92188,50011.33594,50497.27344,50497.27344,49939060095
03-04-2021,50508.40625,51117.23047,48985.82813,48985.82813,48985.82813,50718462577
04-04-2021,48986.63672,50099.72266,48610.75391,49933.19922,49933.19922,43127215841
05-04-2021,49935.16797,50707.92578,49086.75781,49976.84375,49976.84375,51371772183
06-04-2021,50073.35938,50336.08203,48681.75,49008.61328,49008.61328,55632948185
07-04-2021,49003.6875,49448.03906,46868.35156,47210.01953,47210.01953,63716039208
08-04-2021,47252.95703,48956.29297,47064.21484,48948.37891,48948.37891,44525448347
09-04-2021,48950.57031,49553.62109,48623.29297,48942.10938,48942.10938,39203438637
10-04-2021,48949.48438,51489.55469,48768.76563,50242.22266,50242.22266,48935806674
11-04-2021,50286.75391,51080.23828,49820.03125,50609.19531,50609.19531,38903874523
12-04-2021,50584.80078,51569.78906,50031.35938,50273.60547,50273.60547,43504171884
13-04-2021,50270.72266,53385.5,50268.01172,53123.62891,53123.62891,58544448796
14-04-2021,53140.60547,54238.39453,51406.6875,52664.09375,52664.09375,64632348372
15-04-2021,52635.30469,53314.90234,51988.96484,52896.38672,52896.38672,50925008589
16-04-2021,52850.01563,53170.59375,50238.83984,51386.25,51386.25,70347656605
17-04-2021,51350.47266,52222.05078,50376.92188,50646.05078,50646.05078,55198680900
18-04-2021,50661.125,50957.88281,44089.46875,46968.79297,46968.79297,81435535596
19-04-2021,46948.23828,47856.80078,45194.27344,46276.83203,46276.83203,54266362065
20-04-2021,46241.55859,47416.25,44285.18359,46933.71875,46933.71875,56388351851
21-04-2021,46932.13672,47150.94531,44614.33203,44784.20703,44784.20703,45632040957
22-04-2021,44743.51563,45998.46875,42088.26172,43083.34375,43083.34375,62257219154
23-04-2021,43064.64453,43369.86719,39590.52344,42231.40625,42231.40625,71635900305
24-04-2021,42272.38281,42292.5,40344.44922,41374.10156,41374.10156,40517390980
25-04-2021,41375.72266,41750.34766,38988.30469,40534.26172,40534.26172,38146139981
26-04-2021,40595.08984,44895.03906,40397.45313,44721.85547,44721.85547,48250384085
27-04-2021,44728.93359,45835.48047,44169.45313,45522.51563,45522.51563,40902778693
28-04-2021,45525.42578,46368.16016,44676.15625,45178.68359,45178.68359,39555208147
29-04-2021,45206.19531,45418.04688,43228.15234,44170.96875,44170.96875,38013043148
30-04-2021,44182.14844,48172.30078,43821.45313,48047.05078,48047.05078,43592419889
01-05-2021,48017.50391,48626.09375,47464.64063,48110.04688,48110.04688,35637765742
02-05-2021,48108.22656,48172.0625,46707.25781,47088.57031,47088.57031,31744398004
03-05-2021,47079.58594,48963.94531,47073.01953,47432.76953,47432.76953,42882603410
04-05-2021,47444.28516,47444.28516,44272.71094,44387.26172,44387.26172,57063525891
05-05-2021,44319.53906,48266.92188,44082.38281,47823.05859,47823.05859,57664584035
06-05-2021,47837.46484,48438.10938,45928.21484,46742.55859,46742.55859,57622289161
07-05-2021,46757.01172,48207.12109,45848.58984,47155.50781,47155.50781,56262963885
08-05-2021,47152.51953,48888.77344,46842.11328,48345.46484,48345.46484,53754552145
09-05-2021,48405.98438,48680.16797,46436.62109,47846.52344,47846.52344,54152166217
10-05-2021,47861.76953,48969.01172,44531.68359,46010.48438,46010.48438,59120762102
11-05-2021,46000.14453,46813.10156,44963.07031,46692.53125,46692.53125,50483479328
12-05-2021,46700.73047,47802.05859,40695.51172,40695.51172,40695.51172,62276624480
13-05-2021,41179.79297,42440.08594,38911.71875,41166.69531,41166.69531,80088403142
14-05-2021,41139.19922,42387.11719,40433.86328,41072.77734,41072.77734,45895537365
15-05-2021,41052.16016,41692.80078,38419.66016,38498.73828,38498.73828,48708651090
16-05-2021,38462.88281,40935.65625,36193.97266,38235.89063,38235.89063,52714920923
17-05-2021,38202.83984,38381.21094,34720.6875,35814.08594,35814.08594,61615957700
18-05-2021,35773.40625,37621.69531,34661.67188,35106.79688,35106.79688,45970310804
19-05-2021,35135.90234,35623.29297,25122.68555,30403.20313,30403.20313,1.03823E+11
20-05-2021,30198.79883,34775.44531,28776.09961,33359.13672,33359.13672,72212157773
21-05-2021,33207.16797,34471.40625,27599.71289,30627.82227,30627.82227,67365854372
22-05-2021,30682.28906,31880.99414,29050.64063,30818.25,30818.25,47107774121
23-05-2021,30813.99414,31436.13672,25635.58398,28545.53711,28545.53711,64420763233
24-05-2021,28487.88867,32608.72656,28367.05859,31689.20313,31689.20313,55148369255
25-05-2021,31762.72656,32553.67969,29847.70313,31356.95117,31356.95117,45899277730
26-05-2021,31349.11328,33317.40625,30937.22656,32229.5332,32229.5332,42115156993
27-05-2021,32248.14453,33136.60547,30561.30859,31524.04102,31524.04102,35439432785
28-05-2021,31581.54492,31880.82031,28524.93359,29278.32031,29278.32031,45273872634
29-05-2021,29267.28906,30538.73047,27634.85156,28391.16406,28391.16406,37097255900
30-05-2021,28384.06055,29854.8457,27492.80469,29269.51758,29269.51758,25961716928
31-05-2021,29253.49023,30627.5957,28073.39453,30519.30859,30519.30859,31890238366
01-06-2021,30487.37695,30987.25195,29266.42773,30026.79492,30026.79492,28352541166
02-06-2021,30039.07031,31297.39844,29425.50977,30775.01172,30775.01172,27085867000
03-06-2021,30794.85742,32362.98828,30512.01367,32321.55078,32321.55078,29231892311
04-06-2021,32349.34766,32349.34766,29476.1582,30322.69922,30322.69922,34380052740
05-06-2021,30310.98828,31165.55469,28685.55664,29221.08008,29221.08008,29556026133
06-06-2021,29210.10742,29948.04102,29023.33008,29474.39258,29474.39258,23763233981
07-06-2021,29452.10938,30251.59961,27464.53906,27526.49219,27526.49219,27627564851
08-06-2021,27550.125,27898.20508,25546.29492,27497.93359,27497.93359,40994783948
09-06-2021,27452.21484,30822.64844,26666.55078,30664.52734,30664.52734,44317811472
10-06-2021,30700.98047,31523.42773,29443.95898,30150.48828,30150.48828,35796883045
11-06-2021,30145.91406,30952.89648,29583.44531,30832.05469,30832.05469,31959597293
12-06-2021,30836.79688,30893.59961,28679.75391,29360.51367,29360.51367,31319155285
13-06-2021,29363.2168,32476.56641,28792.00195,32286.50586,32286.50586,33584024683
14-06-2021,32219.70703,33787.60547,32036.11133,33178.51563,33178.51563,35595999202
15-06-2021,33350.67578,34060.75,32670.28711,33325.59375,33325.59375,38285621503
16-06-2021,33129.64844,33403.48828,31836.44531,31969.33398,31969.33398,32690112796
17-06-2021,31964.63086,33063.33984,31455.69141,31943.0625,31943.0625,31139872254
18-06-2021,31981.6543,32063.85742,29697.76953,30165.85547,30165.85547,30514524304
19-06-2021,30222.57227,30728.85547,29443.71484,30019.22656,30019.22656,26303398991
20-06-2021,29974.7832,30407.73633,28178.59375,30071.78125,30071.78125,30885305655
21-06-2021,30023.63867,30090.08789,26268.65039,26591.06445,26591.06445,44330653066
22-06-2021,26545.4668,27878.63477,24278.26953,27232.39648,27232.39648,49398801919
23-06-2021,27240.82031,29078.55859,26618.44336,28266.57617,28266.57617,38822908066
24-06-2021,28232.85547,29537.80664,27162.22461,29059.70313,29059.70313,27769406264
25-06-2021,29056.91016,29710.10156,26262.50977,26502.8418,26502.8418,33701267547
26-06-2021,26466.72266,27343.60742,25288.42383,26965.50195,26965.50195,32326643063
27-06-2021,27050.32617,29021.04102,26869.55859,29013.74219,29013.74219,29735530456
28-06-2021,29038.42383,29497.7168,28473.47266,28866.30273,28866.30273,28412102661
29-06-2021,28900.86133,30720.14844,28753.52344,30139.98047,30139.98047,31848900087
30-06-2021,30174.10547,30306.33398,28768.81445,29555.05469,29555.05469,28726957762
